Datetime;Tanggal;Bulan;Tahun;Jam;Hari;Department;Tipe_Insiden;Jenis_Alat;Nomor_Alat;Lokasi;Penyebab;Akibat;Nama_Terlibat;Nama_Perusahaan;Status;Group;Shift;Nama_Korban;Nomor_Container;Deskripsi_Kejadian
09/02/19;9;February;2019;9;Saturday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;HT internal 194 menghantam RTG 06 di blok L3. Ini menyebabkan kotak telepon penutup RTG 06 rusak
10/02/19;10;February;2019;22;Sunday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;"RTG 53 mengenai HT eksternal B 9651 UIP dengan kontainer CCLU 6981071/40"" di blok J4/J5. Hal itu menyebabkan tabrakan Limit dan motor gantry guard RTG 53 rusak"
19/02/19;19;February;2019;7;Tuesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;"kontainer CMAU 4789592/40 terjatuh saat diangkat oleh RTG 47 yang terguling kontainer di bawahnya hingga akhirnya jatuh ke dalam truk. Itu menyebabkan kabel listrik putus dan terkelupas; 4 kontainer rusak ( CMAU 4789592/40 ; TCNU 4157061/40 ; CCLU 4569785/40 ; CMAU 4121638/40) dan kabin HT eksternal B 9544 VI rusak."
03/03/19;3;March;2019;19;Sunday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;"Operator RTG #26 mengemudikan RTG terlalu dekat dengan penumpukan kontainer. Jadi itu jatuh dan mendorong kontainer WHSU 21095443/20"", yang berada di slot 1 baris 6 tier 4. Itu menyebabkan kontainer WHSU 21095443/20""  Isi kontainer tumpah. Kontainer CAIU 2958453/20""- penyok."
04/03/19;4;March;2019;2;Monday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;HT eksternal B 9993 BEI menabrak RTG 12 di blok I4.07. Hal itu menyebabkan pelindung ban RTG 12 rusak.
10/03/19;10;March;2019;14;Sunday;Safety;Dangerous Occurrence;Others;< NOMOR ALAT >;Dermaga;Human Error;Injured Person;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;Kepala TKBM terbentur tutup tangga kapal APL di teluk 66 (dermaga VII). Hal itu menyebabkan TKBM terluka di kepala, kami bawa ke rumah sakit terdekat (PMC).
19/03/19;19;March;2019;20;Tuesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 13 mengenai HT eksternal B 9810 XA di blok N3 – N4. Itu menyebabkan pelindung roda RTG 13 rusak.
20/03/19;20;March;2019;0;Wednesday;Safety;Near Miss;HT External;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;"HT Graha Segara saat manuver menabrak kontainer TRHU 3168743/20"" di blok H4.20.01.01. Hal ini menyebabkan kontainer TRHU 3168743/20"" robek."
01/04/19;1;April;2019;12;Monday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 03 mengenai HT eksternal B 9537 VI di blok I3. Hal itu menyebabkan pelindung ban RTG 03 rusak
03/04/19;3;April;2019;3;Wednesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 44 mengenai HT eksternal B 9703 AR di blok I3.24. Hal itu menyebabkan Wheel guard RTG 44 rusak.
03/04/19;3;April;2019;19;Wednesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;HT eksternal B 9155 PEI menghantam RTG 08 di blok J3 dan J4. Hal itu menyebabkan motor gantry guard RTG 08 rusak.
05/04/19;5;April;2019;15;Friday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;HT eksternal B 9591 WV menabrak RTG 33 di blok I5/I4. Hal itu menyebabkan wheel guard RTG 33 rusak.
05/04/19;5;April;2019;21;Friday;Safety;Fatality;HT External;< NOMOR ALAT >;Dermaga;Human Error;Fatality;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;Menemukan driver eksternal HT B 9013 UEK tewas di truknya. Truk yang diparkir di Berth V. Namanya Edison Panggabean.
09/04/19;9;April;2019;23;Tuesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 55 mengenai HT eksternal B 9566 UEI di blok LL. Hal itu menyebabkan kabin HT eksternal rusak.
12/04/19;12;April;2019;1;Friday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Environment;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 29 ditumpuk impor di blok G1.06 dan tidak di tempat pengaturan yang tepat (tier 1). Dari tingkat 2, tumpukan hampir sama.  Sampai tier 3, yang ditumpuk semakin tinggi dan menambah bobot. Kontainer (tingkat 1) jatuh dari tempat pengaturan ke samping. Hal itu menyebabkan kontainer TCNU 8084810/40 bengkok dan menggembung di tengah.
23/04/19;23;April;2019;19;Tuesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;HT eksternal menghantam RTG 02 di blok K4. Itu menyebabkan pelindung roda RTG 02 rusak
23/04/19;23;April;2019;22;Tuesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;"RTG 11 mengenai HT eksternal B 9453 UEJ di blok B4/B5. Truk itu membawa kontainer. Itu menyebabkan Kontainer no. PCIU 2924019/20"" robek sekitar 1 meter."
24/04/19;24;April;2019;1;Wednesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;HT eksternal B 9318 UIV menabrak RTG 33 di blok N3.03. Hal itu menyebabkan kotak listrik dan pelindung AC RTG 33 rusak.
24/04/19;24;April;2019;9;Wednesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;HT eksternal B 9155 PEI menghantam RTG 08 di blok J3 dan J4. Itu menyebabkan tangga operator rusak.
26/04/19;26;April;2019;8;Friday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 59 mengenai HT eksternal B 9253 UOM di blok BB 10.06. Hal ini menyebabkan eksternal Cabin HT rusak.
28/04/19;28;April;2019;20;Sunday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 17 dengan operator sdr Habibi berada di blok K3.10-11. HT External B 9696 TEH dengan driver sdr Gunawan telah menyelesaikan pengiriman di blok J3.07 dan bermanuver menuju blok K3 jalur RTG selatan sehingga terjadi tabrakan dengan RTG 17 yang gantry dari utara ke selatan.
02/05/19;2;May;2019;12;Thursday;Safety;First Aid / Injury;Others;< NOMOR ALAT >;Dermaga;Method;Injured Person;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;TKBM/stevedore terkena pipa besi (alat untuk membuka wadah penguat). Robek pada alis kanan sekitar 3 cm. Kami membawanya ke rumah sakit terdekat (PMC).
04/05/19;4;May;2019;12;Saturday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;HT eksternal B 9104 UIY menabrak RTG 05 di blok B2.It menyebabkan Wheel Guard RTG 05 rusak.
07/05/19;7;May;2019;1;Tuesday;Safety;Fatality;HT External;< NOMOR ALAT >;Container Yard;Human Error;Fatality;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;"Checker dari PT. PCS, Bapak Purwo Laksono melakukan pengecekan fisik kontainer no. HDMU 2514675/20"" ketika berada di sisi belakang truk, tiba-tiba muncul truk B 9096 TEI lain dan menabraknya. Dia terjepit di antara dua truk. Pemeriksa sudah mati di tempat."
12/05/19;12;May;2019;2;Sunday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;HT eksternal B 9940 TK menabrak RTG 04 di blok M1. Hal ini menyebabkan tiang kemudi motor junction box, tangga operator, dan nepel hoist RTG 04 patah.
15/05/19;15;May;2019;23;Wednesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;HT eksternal B 9248 UEM menabrak RTG 53 di blok H1. Hal itu menyebabkan Motor Gentry Guard RTG 53 rusak.
16/05/19;16;May;2019;20;Thursday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 56 mengenai HT eksternal B 9278 SYL di blok H4. Ini menyebabkan gantry motor braket, membatasi anti-tabrakan, oli level (oli pengukuran) rusak. Dan kontainer WHSU 2095320/20 robek di sisi kanan sekitar 2 meter.
24/05/19;24;May;2019;3;Friday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Machine;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 13 after being repaired by emergency, in block A5.10.03 the RTG’s twist lock did not function properly so the kontainer fell and overwrites the kontainer below it. It caused Wire hoist of RTG 13 broken. kontainers AXIU 1651678 and DFSU 7702574 damaged.
25/05/19;25;May;2019;8;Saturday;Safety;Near Miss;QCC;< NOMOR ALAT >;Dermaga;Machine;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Pemanent Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;There was sparking arise in cable supply at cabin QCC 17. It caused burning at fiber safety of cable supply. 
27/05/19;27;May;2019;19;Monday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Machine;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 04 after being repaired by emergency, at block A4 19-20 suddenly break hoist lost control, kontainer DFSU 6942987/40” dropped from a height of 5 meter, and anti-sway wire breaks down the falling kontainer overwrites the kontainer below it (HMMU 6208747). It caused broken hydraulics hose.
29/05/19;29;May;2019;7;Wednesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 43 dengan operator sdr Azika D gantry dari blok H2 menuju H1 ternyata di antara brok H1 dan H2 ada HT External B 9842 UIW yang chassis nya berada di jalur gantry. Lalu chassis HT External terserempet RTG 43 yang sedang gantry
29/05/19;29;May;2019;7;Wednesday;Safety;Near Miss;Others;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;Mobil Pick Up no. 3 terkena HT eksternal L 8608 UP. Itu menyebabkan kabin pick up no. 3 rusak
12/06/19;12;June;2019;2;Wednesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 46 menabrak kabin depan HT eksternal B 9195 JY di blok FF. Hal itu menyebabkan limit collision rusak.
14/06/19;14;June;2019;13;Friday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 55 mengenai HT eksternal B 9585 UEI di blok JJ/K. Itu menyebabkan pelindung roda RTG 55 rusak
15/06/19;15;June;2019;20;Saturday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;"Pada pukul 20:20 WIB, Team Safety memiliki laporan dari Operational group D yang telah terjadi insiden jatuhnya kontainer TRHU 3773786, 20""FL.at blok I4.04. Pada saat itu operator (Sdr. Marulitua) mengoperasikan RTG 59 dan sedang melayani peti kemas dari CSCL LIMA.  Dia bermaksud menumpuk kontainer di baris 3, tetapi berubah menjadi baris 2. Di baris 2 ada 3 tingkat. Ketika gerakan spreader berubah dari baris 3 kembali ke baris 2, ia meningkatkan kecepatan spreader dengan alasan spreader choked itu menyebabkan kontainer tertabrak TRHU 3773786 sampai jatuh. Dia menyatakan bahwa ada masalah dengan RTG 59 dan dilaporkan ke petugas darurat untuk mengganti peralatan.  Tetapi pasukan petugas darurat bersikeras menggunakan RTG 59. Ini menyebabkan kerusakan kontainer TRHU 3773786 / 20 ""FL dan pintu bawah kanan dilepaskan"
18/06/19;18;June;2019;15;Tuesday;Safety;Near Miss;QCC;< NOMOR ALAT >;Dermaga;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Pemanent Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;QCC 09, insiden saat memuat kontainer WHSU 2447838, penyebar belum dikunci di tempat ke-4. operator segera mengangkat sehingga wadah WHSU 2447838 menimpa wadah WHSU 2041324. Ini menyebabkan wadah melengkung WHSU2447838 di bagian bawah dan menumpahkan semua isi dan wadah berongga WHSU 2041324 di bagian atas.
20/06/19;20;June;2019;4;Thursday;Safety;Near Miss;QCC;< NOMOR ALAT >;Dermaga;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Pemanent Employee;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;"QCC 09, saat memuat di bay 22 di dek, kontainer SLSU 8037223/40"" telah mendarat dan statusnya tidak terkunci, satu sisi masih terkunci sehingga ketika diangkat masih macet. Hal ini menyebabkan kunci twist utara QCC 09 tidak dapat membuka kunci."
21/06/19;21;June;2019;4;Friday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;HT eksternal B 9183 BEI menabrak RTG 26 di blok L3.06. Itu menyebabkan.  Pelindung gantry motor RTG 26 rusak. Kontainer KMTU 9266833 sisi kiri robek.
22/06/19;22;June;2019;1;Saturday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;HT eksternal B 9171 UEJ menabrak RTG 37 di blok N5/N4. Itu menyebabkan pelindung roda RTG 37 rusak.
26/06/19;26;June;2019;16;Wednesday;Safety;Near Miss;HT Internal;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;Pengemudi HT 180/Sasis 169, Bapak Endang Rahmat sedang bergerak dari timur ke barat, ketika tiba di steering way di blok M1/M2 tiba-tiba datang HT eksternal B 9785 UIV dari utara ke selatan. Kemudian menabrak keduanya. Hal itu menyebabkan kabin depan truk eksternal rusak.
03/07/19;3;July;2019;1;Wednesday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;Pengemudi HT 180/Sasis 169, Bapak Endang Rahmat sedang bergerak dari timur ke barat, ketika tiba di steering way di blok M1/M2 tiba-tiba datang HT eksternal B 9785 UIV dari utara ke selatan. Kemudian menabrak keduanya. Hal itu menyebabkan kabin depan truk eksternal rusak.
06/07/19;6;July;2019;9;Saturday;Safety;Near Miss;QCC;< NOMOR ALAT >;Dermaga;Machine;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Pemanent Employee;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;"Dalam proses pembongkaran peti kemas DFSU 1680251/ 20"" di kapal SITC Pyeong di teluk 03 D, sementara itu terdapat wire spreader yang putus di sisi kiri. Hal itu menyebabkan QCC 5 tidak dapat dioperasikan lagi. (PM)"
07/07/19;7;July;2019;16;Sunday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;Contract Employee;< GROUP >;Shift 2 (15:30 - 23:00);< NAMA KORBAN >;< NOMOR CONTAINER >;"RTG 48 di blok PP merumput dengan truk eksternal B 9273 FEH yang membawa kontainer BEAU 2702960 / 20 "". Hal ini menyebabkan motor gantry guard RTG 48 rusak dan kontainer BEAU 2702960/20"" robek sepanjang 60 cm."
10/07/19;10;July;2019;11;Wednesday;Safety;Near Miss;HT External;< NOMOR ALAT >;Container Yard;Human Error;Container Damage;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 1 (07:00 - 15:30);< NAMA KORBAN >;< NOMOR CONTAINER >;"Truk eksternal B 9292 UIW yang sedang membawa kontainer ekspor BSIU 9636984/40"" yang disebabkan oleh pengemudi yang melaju kencang membuat kontainer tersebut roboh. Hal ini menyebabkan wadah BSIU 9636984 / 40"" sisi atas membengkak."
18/07/19;18;July;2019;5;Thursday;Safety;Near Miss;RTGC;< NOMOR ALAT >;Container Yard;Human Error;Equipment Reparation;< NAMA TERLIBAT >;< NAMA PERUSAHAAN >;External;< GROUP >;Shift 3 (23:00 - 07:00);< NAMA KORBAN >;< NOMOR CONTAINER >;RTG 30 di blok E2 menabrak truk eksternal L 9524 UR yang sedang parkir di jalur RTG. Hal itu menyebabkan tangga RTG 30 rusak dan kaca depan truk eksternal rusak.
